title,authors,publication_year,venue,doi,pmid,arxiv_id,abstract,citation_count,source
Computational Complexity of Learning Neural Networks: Smoothness and Degeneracy,Amit Daniely (N/A); N. Srebro (N/A); Gal Vardi (N/A),2023,Neural Information Processing Systems,,,2302.07426,"Understanding when neural networks can be learned efficiently is a fundamental question in learning theory. Existing hardness results suggest that assumptions on both the input distribution and the network's weights are necessary for obtaining efficient algorithms. Moreover, it was previously shown that depth-$2$ networks can be efficiently learned under the assumptions that the input distribution is Gaussian, and the weight matrix is non-degenerate. In this work, we study whether such assumptions may suffice for learning deeper networks and prove negative results. We show that learning depth-$3$ ReLU networks under the Gaussian input distribution is hard even in the smoothed-analysis framework, where a random noise is added to the network's parameters. It implies that learning depth-$3$ ReLU networks under the Gaussian distribution is hard even if the weight matrices are non-degenerate. Moreover, we consider depth-$2$ networks, and show hardness of learning in the smoothed-analysis framework, where both the network parameters and the input distribution are smoothed. Our hardness results are under a well-studied assumption on the existence of local pseudorandom generators.",5,semantic_scholar
Hybrid CNN-Transformer For Marine Aquaculture Semantic Segmentation Based on Polsar Images,Keyuan Liu (N/A); Danchen Zheng (N/A); Jianchao Fan (N/A),2024,IEEE International Geoscience and Remote Sensing Symposium,10.1109/IGARSS53475.2024.10642091,,,"Marine floating raft aquaculture is an important development of marine natural resources, therefore it is necessary to plan the floating raft aquaculture area reasonably. Polarimetric synthetic aperture radar (PolSAR) can record polarization information of scattered echoes from floating rafts and has become an important means of monitoring floating raft aquaculture areas. At present, mainstream semantic segmentation architectures include convolutional neural networks (CNN) and Transformers. There are many methods that can be used for the segmentation task of PolSAR floating rafts, but they are difficult to combine both local and global features of PolSAR data simultaneously. Therefore, this paper introduces a method that integrates CSwin Transformer and ResNet into a segmentation network (CRSegNet). It effectively extracts global and local information of aquaculture rafts, not only grasping the relative position relationship between background and rafts, but also smoothly segmenting rafts from each other. Therefore, it achieved better results than mainstream models.",0,semantic_scholar
Neural Network-Based Human Motion Predictor and Smoother,Stella Grasshof (N/A); Mathias Bastholm (N/A); Sami S. Brandt (N/A),2023,SN Computer Science,10.1007/s42979-023-02195-0,,,"Though continuous advances in the field of human pose estimation, it remains a challenge to retrieve high-quality recordings from real-life human motion using commodity hardware. Therefore, this work focuses on predicting and improving estimates for human motion with the aim of achieving production quality for skinned mesh animations by off-the-shelf webcams. We take advantage of recent findings in the field by employing a recurrent neural network architecture to (1) predict and (2) denoise human motion, with the intention of bridging the gap between cheap recording methods and high-quality recording. First, we propose an LSTM to predict short-term human motion, which achieves competitive results to state-of-the-art methods. Then, we adapt this model architecture and train it to clean up noisy human motion from two 3D low-quality input sources, and hence mimic a real-world scenario of recording human motion which yields noisy estimates. Experiments on simulated data show that the model is capable of significantly reducing noise, and it opens the way for future work to test the model on annotated data.",1,semantic_scholar
Multi-objective Reinforcement Learning in Factored MDPs with Graph Neural Networks,M. Vincent (N/A); A. E. Seghrouchni (N/A); V. Corruble (N/A); Narayan Bernardin (N/A); Rami Kassab (N/A); F. Barbaresco (N/A),2023,Adaptive Agents and Multi-Agent Systems,10.5555/3545946.3599094,,,,0,semantic_scholar
Likelihood-free Bayesian analysis of neural network models,Brandon M. Turner (N/A); P. Sederberg (N/A); James L. McClelland (N/A),2013,BMC Neuroscience,10.1186/1471-2202-14-S1-P270,,,"The goal of cognitive modeling is to understand complex behaviors within a system of mathematically-specified mechanisms or processes; to assess the adequacy of the model to account for experimental data, and to obtain an estimate of the model parameters, which carry valuable information about how the model captures the observed behavior for both individuals and groups. From a theoretical perspective it is essential that we fully understand how the parameters of a model affect the model predictions, and those parameters interact with one another.

Despite the importance of understanding the full range of valid parameter estimates, difficulties encountered in deriving the full likelihood function have prevented the application of fully Bayesian analyses for many cognitive models, especially those that attempt to capture neurally-plausible mechanisms. Recent advances in likelihood-free techniques have allowed for new insights to simulation-based cognitive models [1-3]. Yet, present likelihood-free methods have two critical sources of error that continue to prevent their widespread adoption. The first source of error arises from the use of summary statistics that are not sufficient for the parameters of interest. When a set of summary statistics are not sufficient, one cannot guarantee convergence to the correct posterior distribution. Because it is impossible to guarantee that a summary statistic is sufficient when a likelihood function is unavailable, current likelihood-free estimation techniques introduce error in the posterior distribution, and this error is not directly measurable. The second source of error results from the tolerance threshold that is used to evaluate the approximate likelihood in some algorithms. Even when sufficient statistics are known, a nonzero tolerance threshold will result in inaccurate posterior estimates [2].

Here we present a new, fully-generalizable method, which we call the probability density approximation (PDA) method, for performing likelihood-free Bayesian parameter estimation that does not suffer from these sources of error. Our method works by generating a set of simulated data and constructing an estimate of the underlying probability density function through scaled kernel density estimation. We illustrate the importance of our method by comparing two neural network models of choice reaction time that have never been analyzed using Bayesian techniques due to their computational complexity: the Leaky Competing Accumulator (LCA) [4] model and the Feed-Forward Inhibition (FFI) [5] model. Both models embody neurologically plausible mechanisms such as ""leakage"", or the passive decay of evidence during a decision, and competition among alternative through either lateral inhibition (in the LCA model) or feed-forward inhibition (in the FFI model). However, it remains unclear as to which dynamical system best accounts for empirical data, due to the limitations imposed by intractable likelihoods. Specifically, complexity measures that take into account posterior uncertainty and model complexity have yet to be applied. Our method of Bayesian analysis leads to results favoring the competitive mechanisms in the LCA over the feed-forward inhibition in the FFI, and reveals parameter trade-offs within these neurologically plausible models as well as interesting individual differences.",0,semantic_scholar
Prompt-Driven Continual Graph Learning,Qi Wang (N/A); Tianfei Zhou (N/A); Ye Yuan (N/A); Rui Mao (N/A),2025,arXiv.org,10.48550/arXiv.2502.06327,,2502.06327,"Continual Graph Learning (CGL), which aims to accommodate new tasks over evolving graph data without forgetting prior knowledge, is garnering significant research interest. Mainstream solutions adopt the memory replay-based idea, ie, caching representative data from earlier tasks for retraining the graph model. However, this strategy struggles with scalability issues for constantly evolving graphs and raises concerns regarding data privacy. Inspired by recent advancements in the prompt-based learning paradigm, this paper introduces a novel prompt-driven continual graph learning (PROMPTCGL) framework, which learns a separate prompt for each incoming task and maintains the underlying graph neural network model fixed. In this way, PROMPTCGL naturally avoids catastrophic forgetting of knowledge from previous tasks. More specifically, we propose hierarchical prompting to instruct the model from both feature- and topology-level to fully address the variability of task graphs in dynamic continual learning. Additionally, we develop a personalized prompt generator to generate tailored prompts for each graph node while minimizing the number of prompts needed, leading to constant memory consumption regardless of the graph scale. Extensive experiments on four benchmarks show that PROMPTCGL achieves superior performance against existing CGL approaches while significantly reducing memory consumption. Our code is available at https://github.com/QiWang98/PromptCGL.",0,semantic_scholar
Explicit Neural Network-Based Modeling of Time-Varying Circuits with a Single BJT in the Wave Digital Domain,Oliviero Massi (N/A); Shijie Yang (N/A); Riccardo Giampiccolo (N/A); Alberto Bernardini (N/A),2025,International Symposium on Circuits and Systems,10.1109/ISCAS56072.2025.11043816,,,"Time-varying circuits, either due to inherent physical phenomena or due to external user interactions, are ubiquitous, especially in audio processing gear. Examples of such circuits include amplification stages based on a single Bipolar Junction Transistor (BJT) with time-varying controls that adjust, for example, the transistor biasing point. In this manuscript, we extend a previously proposed Wave Digital (WD) methodology for the fully explicit simulation of circuits incorporating a single nonlinear two-port element to accommodate time-varying circuits. To this end, we introduce a novel definition for the explicit BJT WD model, using a nonlinear vector wave scattering equation implemented through a neural network architecture. The proposed approach is validated through the discrete-time simulation of a fuzz guitar pedal with two potentiometers, achieving accuracy levels comparable to standard circuit simulation software.",0,semantic_scholar
A vision-based zebra crossing detection method for people with visual impairments,Y. Akbari (N/A); Hanadi Hassen (N/A); Nandhini Subramanian (N/A); Jayakanth Kunhoth (N/A); S. Al-Maadeed (N/A); Wael K. M. Alhajyaseen (N/A),2020,"International Conference on Informatics, IoT, and Enabling Technologies",10.1109/ICIoT48696.2020.9089622,,,"Safe navigation for visually impaired is challenging without assistive technology. This paper proposes a pedestrian crossing detection approach to help visually impaired people. We introduce the use of multiple convolutional neural networks (CNNs) by utilizing wavelet transform subbands as inputs in which networks are trained to detect zebra crossing. In our method, the original image is decomposed into wavelet subbands, and the input images are constructed from image approximation based on the coefficients of three subbands. In the multiple networks approach, the segmentation results of the networks were integrated to create the final segmentation map. The results presented in this study prove that our method fully outperforms the SegNet networks and other state-of-the-art results using the Synthia database.",7,semantic_scholar
Evaluation of Backpropagation Neural Network Models for Early Prediction of Student’s Graduation in XYZ University,Ainul Yaqin (N/A); A. Laksito (N/A); S. Fatonah (N/A),2021,"International Journal on Advanced Science, Engineering and Information Technology",10.18517/IJASEIT.11.2.11152,,,"The study period of the student in a tertiary institution is undoubtedly essential in implementing the objectives of the tertiary institution, particularly for the implementation of the study program, so that its outcomes will affect accreditation. Prediction of students' study period can be a reference for higher education institutions in making policies for the future. Based on XYZ University data, especially in the informatics study program, many students have the different generation and concentration therein. In the implementation of students in studying, several factors, including the value of the Grade Point Average (GPA), can affect the study period taken. Likewise, the institutions often do not understand the conditions or predictive value of students' study period on campus. The application of neural networks in predicting the students’ study period at the XYZ University uses a network model with GPA values as input and 1 layer of hidden layers with 10, 50 and 100 neurons; learning rate values used are 0.01, 0.1 and 0.3 and 1 output target for the study period. Prediction results obtained the best results on the neuron network pattern 50 with 0.01 as a learning rate, which detail of MSE value, the training is 0,017516 and the testing is 0,047721, with an accuracy value of 77%.",9,semantic_scholar
Coordinating Human and Agent Behavior in Collective-Risk Scenarios,Elias Fernández Domingos (N/A); J. C. Burguillo (N/A); A. Nowé (N/A); T. Lenaerts (N/A),2017,AAAI Conference on Artificial Intelligence,10.1609/aaai.v31i1.11081,,,"

 Various social situations entail a collective risk. A well-known example is climate change, wherein the risk of a future environmental disaster clashes with the immediate economic interest of developed and developing countries. The collective-risk game operationalizes this kind of situations. The decision process of the participants is determined by how good they are in evaluating the probability of future risk as well as their ability to anticipate the actions of the opponents. Anticipatory behavior contrasts with the reactive theories often used to analyze social dilemmas. Our initial work can already show that anticipative agents are a better model to human behavior than reactive ones. All the agents we studied used a recurrent neural network, however, only the ones that used it to predict future outcomes (anticipative agents) were able to account for changes in the context of games, a behavior also observed in experiments with humans. This extended abstract aims to explain how we wish to investigate anticipation within the context of the collective-risk game and the relevance these results may have for the field of hybrid socio-technical systems.

",1,semantic_scholar
Dissecting Pruned Neural Networks,Jonathan Frankle (N/A); David Bau (N/A),2019,arXiv.org,,,1907.00262,"Pruning is a standard technique for removing unnecessary structure from a neural network to reduce its storage footprint, computational demands, or energy consumption. Pruning can reduce the parameter-counts of many state-of-the-art neural networks by an order of magnitude without compromising accuracy, meaning these networks contain a vast amount of unnecessary structure. In this paper, we study the relationship between pruning and interpretability. Namely, we consider the effect of removing unnecessary structure on the number of hidden units that learn disentangled representations of human-recognizable concepts as identified by network dissection. We aim to evaluate how the interpretability of pruned neural networks changes as they are compressed. We find that pruning has no detrimental effect on this measure of interpretability until so few parameters remain that accuracy beings to drop. Resnet-50 models trained on ImageNet maintain the same number of interpretable concepts and units until more than 90% of parameters have been pruned.",8,semantic_scholar
Interpretable Rotation-Equivariant Quaternion Neural Networks for 3D Point Cloud Processing,Wen Shen (N/A); Zhihua Wei (N/A); Qihan Ren (N/A); Binbin Zhang (N/A); Shikun Huang (N/A); Jiaqi Fan (N/A); Quanshi Zhang (N/A),2024,IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2023.3346383,38190688,,"This study proposes a set of generic rules to revise existing neural networks for 3D point cloud processing to rotation-equivariant quaternion neural networks (REQNNs), in order to make feature representations of neural networks to be rotation-equivariant and permutation-invariant. Rotation equivariance of features means that the feature computed on a rotated input point cloud is the same as applying the same rotation transformation to the feature computed on the original input point cloud. We find that the rotation-equivariance of features is naturally satisfied, if a neural network uses quaternion features. Interestingly, we prove that such a network revision also makes gradients of features in the REQNN to be rotation-equivariant w.r.t. inputs, and the training of the REQNN to be rotation-invariant w.r.t. inputs. Besides, permutation-invariance examines whether the intermediate-layer features are invariant, when we reorder input points. We also evaluate the stability of knowledge representations of REQNNs, and the robustness of REQNNs to adversarial rotation attacks. Experiments have shown that REQNNs outperform traditional neural networks in both terms of classification accuracy and robustness on rotated testing samples.",4,semantic_scholar
Neural Network with Forgetting: An ANN Algorithm for Customer,Q. Ye (N/A); Tao Lu (N/A); Yijun Li (N/A); Wenjun Sun (N/A),2005,Proceedings of the Annual Hawaii International Conference on System Sciences,10.1109/HICSS.2005.454,,,,2,semantic_scholar
Musical Instrument Recognition Using Their Distinctive Characteristics in Artificial Neural Networks,Babak Toghiani-Rizi (N/A); Marcus Windmark (N/A),2017,arXiv.org,,,1705.04971,"In this study an Artificial Neural Network was trained to classify musical instruments, using audio samples transformed to the frequency domain. Different features of the sound, in both time and frequency domain, were analyzed and compared in relation to how much information that could be derived from that limited data. The study concluded that in comparison with the base experiment, that had an accuracy of 93.5%, using the attack only resulted in 80.2% and the initial 100 Hz in 64.2%.",12,semantic_scholar
Codiscovering graphical structure and functional relationships within data: A Gaussian Process framework for connecting the dots,Théo Bourdais (N/A); Pau Batlle (N/A); Xianjin Yang (N/A); Ricardo Baptista (N/A); Nicolas Rouquette (N/A); H. Owhadi (N/A),2024,Proceedings of the National Academy of Sciences of the United States of America,10.1073/pnas.2403449121,39088394,,"Significance Many complex data analysis problems within and beyond the scientific domain involve discovering graphical structures and functional relationships within data. Nonlinear variance decomposition with Gaussian Processes simplifies and automates this process. Other methods, such as artificial neural networks, lack this variance decomposition feature. Information-theoretic and causal inference methods suffer from super-exponential complexity with respect to the number of variables. The proposed technique performs this task in polynomial complexity. This unlocks the potential for applications involving the identification of a network of hidden relationships between variables without a parameterized model at a remarkable scale, scope, and complexity.",6,semantic_scholar
Neural substrates of defensive reactivity in two subtypes of specific phobia.,U. Lueken (N/A); K. Hilbert (N/A); V. Stolyar (N/A); N. Maslowski (N/A); K. Beesdo-Baum (N/A); H. Wittchen (N/A),2014,Social Cognitive and Affective Neuroscience,10.1093/scan/nst159,24174207,,"Depending on threat proximity, different defensive behaviours are mediated by a descending neural network involving forebrain (distal threat) vs midbrain areas (proximal threat). Compared to healthy subjects, it can be assumed that phobics are characterized by shortened defensive distances on a behavioural and neural level. This study aimed at characterizing defensive reactivity in two subtypes of specific phobia [snake (SP) and dental phobics (DP)]. Using functional magnetic resonance imaging (fMRI), n = 39 subjects (13 healthy controls, HC; 13 SP; 13 DP) underwent an event-related fMRI task employing an anticipation (5-10 s) and immediate perception phase (phobic pictures and matched neutral stimuli; 1250 ms) to modulate defensive distance. Although no differential brain activity in any comparisons was observed in DP, areas associated with defensive behaviours (e.g. amygdala, hippocampus, midbrain) were activated in SP. Decreasing defensive distance in SP was characterized by a shift to midbrain activity. Present findings substantiate differences between phobia types in their physiological and neural organization that can be expanded to early stages of defensive behaviours. Findings may contribute to a better understanding of the dynamic organization of defensive reactivity in different types of phobic fear.",31,semantic_scholar
"Early Detection of Aphid Infestation and Insect-Plant Interaction Assessment in Wheat Using a Low-Cost Electronic Nose (E-Nose), Near-Infrared Spectroscopy and Machine Learning Modeling",S. Fuentes (N/A); E. Tongson (N/A); R. Unnithan (N/A); Claudia Gonzalez Viejo (N/A),2021,Italian National Conference on Sensors,10.3390/s21175948,34502839,,"Advances in early insect detection have been reported using digital technologies through camera systems, sensor networks, and remote sensing coupled with machine learning (ML) modeling. However, up to date, there is no cost-effective system to monitor insect presence accurately and insect-plant interactions. This paper presents results on the implementation of near-infrared spectroscopy (NIR) and a low-cost electronic nose (e-nose) coupled with machine learning. Several artificial neural network (ANN) models were developed based on classification to detect the level of infestation and regression to predict insect numbers for both e-nose and NIR inputs, and plant physiological response based on e-nose to predict photosynthesis rate (A), transpiration (E) and stomatal conductance (gs). Results showed high accuracy for classification models ranging within 96.5–99.3% for NIR and between 94.2–99.2% using e-nose data as inputs. For regression models, high correlation coefficients were obtained for physiological parameters (gs, E and A) using e-nose data from all samples as inputs (R = 0.86) and R = 0.94 considering only control plants (no insect presence). Finally, R = 0.97 for NIR and R = 0.99 for e-nose data as inputs were obtained to predict number of insects. Performances for all models developed showed no signs of overfitting. In this paper, a field-based system using unmanned aerial vehicles with the e-nose as payload was proposed and described for deployment of ML models to aid growers in pest management practices.",37,semantic_scholar
ABCNet: an attention-based method for particle tagging,V. Mikuni (N/A); F. Canelli (N/A),2020,The European Physical Journal Plus,10.1140/epjp/s13360-020-00497-3,32647596,2001.05311,"In high energy physics, graph-based implementations have the advantage of treating the input data sets in a similar way as they are collected by collider experiments. To expand on this concept, we propose a graph neural network enhanced by attention mechanisms called ABCNet. To exemplify the advantages and flexibility of treating collider data as a point cloud, two physically motivated problems are investigated: quark–gluon discrimination and pileup reduction. The former is an event-by-event classification, while the latter requires each reconstructed particle to receive a classification score. For both tasks, ABCNet shows an improved performance compared to other algorithms available.",83,semantic_scholar
A New CNN-Based Model for Financial Time Series: TAIEX and FTSE Stocks Forecasting,M. Kirisci (N/A); Ozge Cagcag Yolcu (N/A),2022,Neural Processing Letters,10.1007/s11063-022-10767-z,,,,45,semantic_scholar
Efficient 2D localization of a number of mutually arbitrary positioned stochastic EM sources in far-field using neural model,Z. Stanković (N/A); N. Dončov (N/A); B. Milovanovic (N/A); I. Milovanovic (N/A),2017,International Conference on Electromagnetics in Advanced Applications,10.1109/ICEAA.2017.8065537,,,,4,semantic_scholar
Neural network estimation of balance control during locomotion.,M. Hahn (N/A); A. Farley (N/A); Victor Lin (N/A); L. Chou (N/A),2005,Journal of Biomechanics,10.1016/J.JBIOMECH.2004.05.012,15713292,,,38,semantic_scholar
Sparse Adversarial Attack via Perturbation Factorization,Yanbo Fan (N/A); Baoyuan Wu (N/A); T. Li (N/A); Yong Zhang (N/A); Mingyang Li (N/A); Zhifeng Li (N/A); Yujiu Yang (N/A),2020,European Conference on Computer Vision,10.1007/978-3-030-58542-6_3,,,,84,semantic_scholar
Design and experimental evaluation of an intelligent PID controller using CMACs,K. Koiwai (N/A); K. Kawada (N/A); Toru Yamamoto (N/A),2009,"International Conference on Networking, Sensing and Control",10.1109/ICNSC.2009.4919370,,,,5,semantic_scholar
